trial-name,spk,train-infer,train-quality,n-samples,test-infer,test-quality,eer
trial_1v9cr4tp,Serval,raw,ABC,520,embd,D,40
trial_1v9cr4tp,Serval,raw,ABC,520,mask,ABC,25
trial_1v9cr4tp,Serval,raw,ABC,520,mask,D,40
trial_1v9cr4tp,Serval,raw,ABC,520,raw,ABC,32.14
trial_1v9cr4tp,Serval,raw,ABC,520,raw,D,28
trial_206mmdy6,Serval,embd,ABCD,520,embd,ABC,30
trial_206mmdy6,Serval,embd,ABCD,520,embd,D,36
trial_206mmdy6,Serval,embd,ABCD,520,mask,ABC,26.67
trial_206mmdy6,Serval,embd,ABCD,520,mask,D,32
trial_206mmdy6,Serval,embd,ABCD,520,raw,ABC,36.67
trial_206mmdy6,Serval,embd,ABCD,520,raw,D,36
trial_241of2pe,Kaban,embd,ABCD,880,embd,ABC,23.53
trial_241of2pe,Kaban,embd,ABCD,880,embd,D,32.14
trial_241of2pe,Kaban,embd,ABCD,880,mask,ABC,23.53
trial_241of2pe,Kaban,embd,ABCD,880,mask,D,25
trial_241of2pe,Kaban,embd,ABCD,880,raw,ABC,23.53
trial_241of2pe,Kaban,embd,ABCD,880,raw,D,25
trial_25wbre0p,Serval,raw,ABC,520,embd,ABC,53.12
trial_25wbre0p,Serval,raw,ABC,520,embd,D,38.89
trial_25wbre0p,Serval,raw,ABC,520,mask,ABC,37.5
trial_25wbre0p,Serval,raw,ABC,520,mask,D,50
trial_25wbre0p,Serval,raw,ABC,520,raw,ABC,37.5
trial_25wbre0p,Serval,raw,ABC,520,raw,D,38.89
trial_2663x48p,Serval,embd,ABCD,650,embd,ABC,25.81
trial_2663x48p,Serval,embd,ABCD,650,embd,D,30.56
trial_2663x48p,Serval,embd,ABCD,650,mask,ABC,22.58
trial_2663x48p,Serval,embd,ABCD,650,mask,D,25
trial_2663x48p,Serval,embd,ABCD,650,raw,ABC,22.58
trial_2663x48p,Serval,embd,ABCD,650,raw,D,30.56
trial_273hbsfk,Kaban,raw,AB,520,embd,ABC,45.45
trial_273hbsfk,Kaban,raw,AB,520,embd,D,44
trial_273hbsfk,Kaban,raw,AB,520,mask,ABC,40.91
trial_273hbsfk,Kaban,raw,AB,520,mask,D,36
trial_273hbsfk,Kaban,raw,AB,520,raw,ABC,36.36
trial_273hbsfk,Kaban,raw,AB,520,raw,D,40
trial_283p8yc3,Serval,mask,ABCD,650,embd,ABC,31.03
trial_283p8yc3,Serval,mask,ABCD,650,embd,D,34.62
trial_283p8yc3,Serval,mask,ABCD,650,mask,ABC,13.79
trial_283p8yc3,Serval,mask,ABCD,650,mask,D,30.77
trial_283p8yc3,Serval,mask,ABCD,650,raw,ABC,13.79
trial_283p8yc3,Serval,mask,ABCD,650,raw,D,30.77
trial_2etpifq2,Kaban,raw,ABC,1000,embd,ABC,26.32
trial_2etpifq2,Kaban,raw,ABC,1000,embd,D,27.27
trial_2etpifq2,Kaban,raw,ABC,1000,mask,ABC,21.05
trial_2etpifq2,Kaban,raw,ABC,1000,mask,D,22.73
trial_2etpifq2,Kaban,raw,ABC,1000,raw,ABC,15.79
trial_2etpifq2,Kaban,raw,ABC,1000,raw,D,22.73
trial_2glruyaf,Kaban,mask,ABCD,880,embd,ABC,25
trial_2glruyaf,Kaban,mask,ABCD,880,embd,D,31.82
trial_2glruyaf,Kaban,mask,ABCD,880,mask,ABC,21.43
trial_2glruyaf,Kaban,mask,ABCD,880,mask,D,18.18
trial_2glruyaf,Kaban,mask,ABCD,880,raw,ABC,25
trial_2glruyaf,Kaban,mask,ABCD,880,raw,D,22.73
trial_2jh37915,Serval,embd,ABCD,650,embd,ABC,30
trial_2jh37915,Serval,embd,ABCD,650,embd,D,42.31
trial_2jh37915,Serval,embd,ABCD,650,mask,ABC,26.67
trial_2jh37915,Serval,embd,ABCD,650,mask,D,26.92
trial_2jh37915,Serval,embd,ABCD,650,raw,ABC,30
trial_2jh37915,Serval,embd,ABCD,650,raw,D,34.62
trial_2kwd20df,Serval,mask,ABCD,880,embd,ABC,20.59
trial_2kwd20df,Serval,mask,ABCD,880,embd,D,43.75
trial_2kwd20df,Serval,mask,ABCD,880,mask,ABC,11.76
trial_2kwd20df,Serval,mask,ABCD,880,mask,D,18.75
trial_2kwd20df,Serval,mask,ABCD,880,raw,ABC,11.76
trial_2kwd20df,Serval,mask,ABCD,880,raw,D,25
trial_2l6sl4l9,Serval,raw,AB,520,embd,ABC,33.33
trial_2l6sl4l9,Serval,raw,AB,520,embd,D,60.71
trial_2l6sl4l9,Serval,raw,AB,520,mask,ABC,37.04
trial_2l6sl4l9,Serval,raw,AB,520,mask,D,39.29
trial_2l6sl4l9,Serval,raw,AB,520,raw,ABC,29.63
trial_2l6sl4l9,Serval,raw,AB,520,raw,D,35.71
trial_2m1r6q1m,Kaban,embd,ABCD,520,embd,ABC,35
trial_2m1r6q1m,Kaban,embd,ABCD,520,embd,D,42.11
trial_2m1r6q1m,Kaban,embd,ABCD,520,mask,ABC,35
trial_2m1r6q1m,Kaban,embd,ABCD,520,mask,D,47.37
trial_2m1r6q1m,Kaban,embd,ABCD,520,raw,ABC,40
trial_2m1r6q1m,Kaban,embd,ABCD,520,raw,D,52.63
trial_2pgidb2k,Serval,raw,ABC,520,embd,ABC,24.14
trial_2pgidb2k,Serval,raw,ABC,520,embd,D,30.43
trial_2pgidb2k,Serval,raw,ABC,520,mask,ABC,20.69
trial_2pgidb2k,Serval,raw,ABC,520,mask,D,17.39
trial_2pgidb2k,Serval,raw,ABC,520,raw,ABC,20.69
trial_2pgidb2k,Serval,raw,ABC,520,raw,D,39.13
trial_2qj3s92p,Serval,mask,ABCD,520,embd,ABC,40
trial_2qj3s92p,Serval,mask,ABCD,520,embd,D,43.48
trial_2qj3s92p,Serval,mask,ABCD,520,mask,ABC,30
trial_2qj3s92p,Serval,mask,ABCD,520,mask,D,26.09
trial_2qj3s92p,Serval,mask,ABCD,520,raw,ABC,26.67
trial_2qj3s92p,Serval,mask,ABCD,520,raw,D,30.43
trial_2tu0vq79,Kaban,raw,ABC,880,embd,ABC,25
trial_2tu0vq79,Kaban,raw,ABC,880,embd,D,38.89
trial_2tu0vq79,Kaban,raw,ABC,880,mask,ABC,10.71
trial_2tu0vq79,Kaban,raw,ABC,880,mask,D,16.67
trial_2tu0vq79,Kaban,raw,ABC,880,raw,ABC,17.86
trial_2tu0vq79,Kaban,raw,ABC,880,raw,D,22.22
trial_2vzso2il,Kaban,raw,AB,650,embd,ABC,40.74
trial_2vzso2il,Kaban,raw,AB,650,embd,D,54.55
trial_2vzso2il,Kaban,raw,AB,650,mask,ABC,25.93
trial_2vzso2il,Kaban,raw,AB,650,mask,D,45.45
trial_2vzso2il,Kaban,raw,AB,650,raw,ABC,29.63
trial_2vzso2il,Kaban,raw,AB,650,raw,D,36.36
trial_2whbtacv,Kaban,mask,ABCD,1000,embd,ABC,37.04
trial_2whbtacv,Kaban,mask,ABCD,1000,embd,D,31.82
trial_2whbtacv,Kaban,mask,ABCD,1000,mask,ABC,18.52
trial_2whbtacv,Kaban,mask,ABCD,1000,mask,D,27.27
trial_2whbtacv,Kaban,mask,ABCD,1000,raw,ABC,14.81
trial_2whbtacv,Kaban,mask,ABCD,1000,raw,D,31.82
trial_2x2cradq,Serval,mask,ABCD,1000,embd,ABC,22.73
trial_2x2cradq,Serval,mask,ABCD,1000,embd,D,33.33
trial_2x2cradq,Serval,mask,ABCD,1000,mask,ABC,13.64
trial_2x2cradq,Serval,mask,ABCD,1000,mask,D,16.67
trial_2x2cradq,Serval,mask,ABCD,1000,raw,ABC,13.64
trial_2x2cradq,Serval,mask,ABCD,1000,raw,D,22.22
trial_2ykur6uc,Kaban,embd,ABCD,650,embd,ABC,29.41
trial_2ykur6uc,Kaban,embd,ABCD,650,embd,D,45
trial_2ykur6uc,Kaban,embd,ABCD,650,mask,ABC,29.41
trial_2ykur6uc,Kaban,embd,ABCD,650,mask,D,35
trial_2ykur6uc,Kaban,embd,ABCD,650,raw,ABC,32.35
trial_2ykur6uc,Kaban,embd,ABCD,650,raw,D,45
trial_35oxlvqn,Serval,raw,ABC,650,embd,ABC,30.77
trial_35oxlvqn,Serval,raw,ABC,650,embd,D,33.33
trial_35oxlvqn,Serval,raw,ABC,650,mask,ABC,23.08
trial_35oxlvqn,Serval,raw,ABC,650,mask,D,25.93
trial_35oxlvqn,Serval,raw,ABC,650,raw,ABC,19.23
trial_35oxlvqn,Serval,raw,ABC,650,raw,D,37.04
trial_39pzuae6,Kaban,embd,ABCD,650,embd,ABC,34.78
trial_39pzuae6,Kaban,embd,ABCD,650,embd,D,40.91
trial_39pzuae6,Kaban,embd,ABCD,650,mask,ABC,34.78
trial_39pzuae6,Kaban,embd,ABCD,650,mask,D,40.91
trial_39pzuae6,Kaban,embd,ABCD,650,raw,ABC,39.13
trial_39pzuae6,Kaban,embd,ABCD,650,raw,D,50
trial_3bbqv17p,Serval,embd,ABCD,520,embd,ABC,42.42
trial_3bbqv17p,Serval,embd,ABCD,520,embd,D,51.85
